Einlieferung;Gewicht;Status;ID
04_03_2022_14_36;2;1;468908634
04_03_2022_14_37;5;0;451758773
04_03_2022_14_38;8;0;993105809
04_03_2022_14_39;3;0;203604706
04_03_2022_14_40;2;0;700127000
04_03_2022_14_41;7;0;978873719
04_03_2022_14_42;2;1;166282885
04_03_2022_14_43;9;0;964864083
04_03_2022_14_44;24;0;372617365
04_03_2022_14_45;7;0;696792400
04_03_2022_14_46;2;0;526931070
04_03_2022_14_47;8;1;323553512
04_03_2022_14_48;4;0;683360527
04_03_2022_14_49;23;0;268955685
04_03_2022_14_50;49;0;652683116
04_03_2022_14_51;5;0;334717210
04_03_2022_14_52;45;0;136954837
04_03_2022_14_53;23;0;991859905
04_03_2022_14_54;7;1;415708317
04_03_2022_14_55;3;0;321923341
04_03_2022_14_56;8;0;769318112
04_03_2022_14_57;2;1;199418450
04_03_2022_14_58;1;1;826977722
04_03_2022_14_59;2;0;165360221
04_03_2022_15_00;6;0;528982181
04_03_2022_15_01;8;0;962388012
